# source: kjerag-spike --bin epi (0.2.0)
# args: scratch/epi/corpus/x2-1844.csv scratch/epi/corpus/x2-1913.csv scratch/epi/corpus/x2-1936.csv axis=epi middle=trimmed seam=roll:-2.503,yaw:1.334,pitch:2.559,cx:3.31,cy:-8.04 dump=scratch/epi/leftovers-x2-epi.csv
# axis: across the seam (epipolar)
# reduction: trimmed, gate on
# seam: roll:-2.503 yaw:1.334 pitch:2.559 cx:3.31 cy:-8.04
# left_deg is across_deg with the pose's own across-seam shift added.
capture,phi_deg,read_deg,left_deg,readings,negative,error_deg,skew_deg
x2-1936,300.0000,1.301161,0.492916,131,0,0.025007,-0.052805
x2-1936,305.0000,1.006114,0.448380,141,1,0.021868,-0.103123
x2-1936,310.0000,0.706854,0.405953,131,0,0.016967,-0.108924
x2-1936,315.0000,0.402985,0.363550,122,0,0.016648,-0.105518
x2-1936,320.0000,0.062734,0.290311,147,66,0.015057,0.039712
x2-1936,325.0000,-0.257188,0.234035,99,91,0.014852,0.261763
x2-1936,330.0000,-0.590612,0.164211,23,21,0.027387,0.238009
x2-1936,335.0000,-0.905604,0.114452,103,99,0.010951,0.196352
x2-1936,340.0000,-1.153484,0.119418,118,115,0.010748,0.184425
x2-1936,345.0000,-1.446657,0.067319,117,116,0.008237,0.145921
x2-1936,350.0000,-1.752947,0.010170,126,124,0.004337,0.093993
x2-1936,355.0000,-1.991524,0.000472,148,146,0.005456,0.069466
